dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,1.0,age,0,2,50,0.00021790227623756035,37713
Adult Income,1.0,age,0,2,100,0.0164900388760071,83264
Adult Income,1.0,capital-gain,9,2,10,0.0695047762430961,40084
Adult Income,1.0,capital-gain,9,2,20,0.06741745841298492,78709
Adult Income,1.0,capital-gain,9,2,50,0.04564959625543901,31646
Adult Income,1.0,capital-gain,9,2,100,0.031648534478128036,23936
Adult Income,1.0,age,0,3,10,0.000215504053274046,79168
Adult Income,1.0,age,0,3,20,0.00010339570072761292,87648
Adult Income,1.0,age,0,3,50,0.0034071169025900435,7929
Adult Income,1.0,age,0,3,100,0.001714813969698302,5856
Adult Income,1.0,capital-gain,9,3,10,0.11899878709976097,67126
Adult Income,1.0,capital-gain,9,3,20,0.139569733317032,33611
Adult Income,1.0,capital-gain,9,3,50,0.009826167056700906,57364
Adult Income,1.0,capital-gain,9,3,100,0.004637590555925552,15027
Adult Income,1.0,age,0,4,10,0.00017455802748223036,86004
Adult Income,1.0,age,0,4,20,0.0005031406746499378,45033
Adult Income,1.0,age,0,4,50,0.004644566211589243,89499
Adult Income,1.0,age,0,4,100,0.0020483964677470256,79632
Adult Income,1.0,capital-gain,9,4,10,0.1332699590886814,70534
Adult Income,1.0,capital-gain,9,4,20,0.05711114450311713,23064
Adult Income,1.0,capital-gain,9,4,50,0.048487786315958376,76700
Adult Income,1.0,capital-gain,9,4,100,0.09440348764239437,5202
Adult Income,1.0,age,0,5,10,0.00019317475810688513,57009
Adult Income,1.0,age,0,5,20,0.0003294703321549224,40455
Adult Income,1.0,age,0,5,50,0.0004937631056440758,99664
Adult Income,1.0,age,0,5,100,0.022861325711023534,19851
Adult Income,1.0,capital-gain,9,5,10,0.0846231555254015,94652
Adult Income,1.0,capital-gain,9,5,20,0.03365466421360137,9075
Adult Income,1.0,capital-gain,9,5,50,0.02333198005720587,62317
Adult Income,1.0,capital-gain,9,5,100,0.003603134066126893,58033
Adult Income,1.0,age,0,6,10,0.00016435063389216698,89894
Adult Income,1.0,age,0,6,20,0.0003365179997069927,29869
Adult Income,1.0,age,0,6,50,0.0004881133581950764,90207
Adult Income,1.0,age,0,6,100,0.004016318316267295,67199
Adult Income,1.0,capital-gain,9,6,10,0.1527340670692161,89039
Adult Income,1.0,capital-gain,9,6,20,0.02369546678441343,19951
Adult Income,1.0,capital-gain,9,6,50,0.027796580316750506,75824
Adult Income,1.0,capital-gain,9,6,100,0.008619697320602292,94211
Adult Income,1.0,age,0,7,10,0.00023523102263221367,4859
