dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,race,7,7,20,0.006334668698091943,37713
Adult Income,0.5,sex,8,7,20,5.492308343766288e-05,83264
Adult Income,0.5,capital-gain,9,7,20,0.06352551418835219,40084
Adult Income,0.5,capital-loss,10,7,20,0.08994690492204899,78709
Adult Income,0.5,hours-per-week,11,7,20,0.04859485702424727,31646
Adult Income,0.5,native-country,12,7,20,0.4641032969222731,23936
Adult Income,0.5,age,0,8,20,0.06650257726849473,79168
Adult Income,0.5,workclass,1,8,20,0.0034547410886896124,87648
Adult Income,0.5,education,2,8,20,0.040223148489018486,7929
Adult Income,0.5,education-num,3,8,20,0.1152590014411418,5856
Adult Income,0.5,marital-status,4,8,20,0.005205915849814057,67126
Adult Income,0.5,occupation,5,8,20,0.057302576555306454,33611
Adult Income,0.5,relationship,6,8,20,0.00324777520720459,57364
Adult Income,0.5,race,7,8,20,0.005199531117207603,15027
Adult Income,0.5,sex,8,8,20,0.0008550067878336791,86004
Adult Income,0.5,capital-gain,9,8,20,0.06339901730497628,45033
Adult Income,0.5,capital-loss,10,8,20,0.08024762184660757,89499
Adult Income,0.5,hours-per-week,11,8,20,0.0353099009653222,79632
Adult Income,0.5,native-country,12,8,20,0.22725182425243928,70534
Adult Income,0.5,age,0,9,20,0.23160174905416273,23064
Adult Income,0.5,workclass,1,9,20,0.00496891749815732,76700
Adult Income,0.5,education,2,9,20,0.07265013993810857,5202
Adult Income,0.5,education-num,3,9,20,0.05398580713333094,57009
Adult Income,0.5,marital-status,4,9,20,0.003380749751815256,40455
Adult Income,0.5,occupation,5,9,20,0.015669916534282506,99664
Adult Income,0.5,relationship,6,9,20,0.0035753248920805136,19851
Adult Income,0.5,race,7,9,20,0.0021072348824663733,94652
Adult Income,0.5,sex,8,9,20,0.0003078730686342594,9075
Adult Income,0.5,capital-gain,9,9,20,0.09936130792097883,62317
Adult Income,0.5,capital-loss,10,9,20,0.08853754909999488,58033
