dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,marital-status,4,7,20,1.607854790809181e-05,62318
Adult Income,0.5,occupation,5,7,20,0.00036592207202690394,4854
Adult Income,0.5,relationship,6,7,20,1.562552687265594e-06,8401
Adult Income,0.5,race,7,7,20,0.0004856609939050562,37713
Adult Income,0.5,sex,8,7,20,1.7527876342077366e-08,83264
Adult Income,0.5,capital-gain,9,7,20,0.0664650300504157,40084
Adult Income,0.5,capital-loss,10,7,20,0.0034370277651799373,78709
Adult Income,0.5,hours-per-week,11,7,20,0.00013975833421599833,31646
Adult Income,0.5,native-country,12,7,20,1.2671882746076173,23936
Adult Income,0.5,age,0,8,20,0.0004907000727742694,79168
Adult Income,0.5,workclass,1,8,20,1.5136720854694889e-05,87648
Adult Income,0.5,education,2,8,20,0.0003773000953644061,7929
Adult Income,0.5,education-num,3,8,20,0.000361603472504207,5856
Adult Income,0.5,marital-status,4,8,20,5.844057591614405e-05,67126
Adult Income,0.5,occupation,5,8,20,4.2028854636649866e-05,33611
Adult Income,0.5,relationship,6,8,20,4.864761867070548e-07,57364
Adult Income,0.5,race,7,8,20,2.9138134356253023e-05,15027
Adult Income,0.5,sex,8,8,20,2.1018721272351323e-07,86004
Adult Income,0.5,capital-gain,9,8,20,0.09856454197299154,45033
Adult Income,0.5,capital-loss,10,8,20,0.0034266333297958535,89499
Adult Income,0.5,hours-per-week,11,8,20,0.001072217751259839,79632
Adult Income,0.5,native-country,12,8,20,4.644143760829919,70534
Adult Income,0.5,age,0,9,20,0.00040485826720458796,23064
Adult Income,0.5,workclass,1,9,20,1.9788551774403584e-05,76700
Adult Income,0.5,education,2,9,20,0.0011230584941827025,5202
Adult Income,0.5,education-num,3,9,20,0.000750909702214131,57009
Adult Income,0.5,marital-status,4,9,20,7.109769499407854e-05,40455
Adult Income,0.5,occupation,5,9,20,0.0004221329083495084,99664
Adult Income,0.5,relationship,6,9,20,1.2826923607882258e-06,19851
Adult Income,0.5,race,7,9,20,0.00027830558807073535,94652
Adult Income,0.5,sex,8,9,20,2.8738044483633573e-09,9075
Adult Income,0.5,capital-gain,9,9,20,0.10558981433893844,62317
Adult Income,0.5,capital-loss,10,9,20,0.010685098812122838,58033
Adult Income,0.5,hours-per-week,11,9,20,0.00021597483785820552,89894
Adult Income,0.5,native-country,12,9,20,0.2148327163737011,29869
Adult Income,1.0,age,0,0,20,0.0001721977593609239,90207
Adult Income,1.0,workclass,1,0,20,8.154920434598289e-06,67199
Adult Income,1.0,education,2,0,20,6.898669959962021e-05,89039
Adult Income,1.0,education-num,3,0,20,0.00014972122609549043,19951
Adult Income,1.0,marital-status,4,0,20,5.46321041074253e-05,75824
Adult Income,1.0,occupation,5,0,20,7.147505115834254e-05,94211
