dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
0,2.0,5,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 1 8 4 6 3 9],0.9111111111111111,67062
0,2.0,6,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 4 3 6 1 8 9],0.9111111111111111,52561
0,2.0,7,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 3 4 8 6 9],0.8888888888888888,64718
0,2.0,8,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 6 1 4 8 3 9],0.9333333333333333,25729
0,2.0,9,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 1 6 4 8 3 9],0.9333333333333333,61538
0,5.0,0,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 1 4 8 6 3 9],0.9333333333333333,76405
0,5.0,1,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,38367
0,5.0,2,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 6 8 3 9],0.9777777777777777,46092
0,5.0,3,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,99720
0,5.0,4,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,80498
0,5.0,5,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,98083
0,5.0,6,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,37952
0,5.0,7,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,68554
0,5.0,8,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 6 8 3 9],0.9777777777777777,95010
0,5.0,9,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,65045
0,10.0,0,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,84031
0,10.0,1,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,68844
0,10.0,2,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,70400
0,10.0,3,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,38892
0,10.0,4,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 4 6 3 9],0.9333333333333333,87515
0,10.0,5,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,13509
0,10.0,6,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 6 8 4 3 9],0.9333333333333333,57890
0,10.0,7,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 6 8 3 9],0.9777777777777777,72148
0,10.0,8,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 6 8 3 9],0.9777777777777777,84548
0,10.0,9,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 1 4 8 6 3 9],0.9333333333333333,52535
1,0.1,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 6  4  9  1 11  3 10  2  7  5 12  8  0],0.5641025641025641,37541
1,0.1,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 8  3  4  5  0  9  6  2 11  7 10 12  1],0.6794871794871795,31024
1,0.1,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  9  6  2  5 12 11 10  4  7  3  1  8],0.6282051282051282,42295
1,0.1,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[12  2  9  5  4  3  6 11  8  0 10  7  1],0.5256410256410257,48583
1,0.1,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 9  1  3  4 11  7  0  6  2  5  8 12 10],0.6538461538461539,71882
1,0.1,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 8  0 10  3  5  6  4  1  9 12  7  2 11],0.5769230769230769,88948
1,0.1,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 9  4 11  5  3  2  0  7  1  8 10 12  6],0.7307692307692307,7294
1,0.1,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0 12  8  5  9  1  2  3  6 11 10  4  7],0.5512820512820513,93404
1,0.1,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0 12 10  1  3  7  9  2  6 11  4  5  8],0.38461538461538464,53134
1,0.1,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 5  4  9 11  0 10  1  3  7  8 12  6  2],0.7564102564102564,35779
1,0.2,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 9  3  5 11  4  1  2 10  8  6 12  7  0],0.6794871794871795,67273
1,0.2,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 2  1  0  5 11  3  9  4 10 12  7  6  8],0.6923076923076923,57152
1,0.2,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0 11  4  5 10  6  9  3  2 12  8  1  7],0.7692307692307693,25460
1,0.2,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0 12 11  5  3  1  4  6  7  2 10  9  8],0.6923076923076923,32186
1,0.2,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  9  4  7  1  3 10 11  8  6  5  2 12],0.6410256410256411,71951
1,0.2,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 3  0  5  9 11  4  7 10  1  6  2  8 12],0.7948717948717948,59430
1,0.2,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 5  3  0 10  6  4  9 12  8  7  1  2 11],0.6282051282051282,50441
1,0.2,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 4  6  0  3  9 12  1 11  7  2  5  8 10],0.6538461538461539,33791
1,0.2,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[11  4 10  9  5  3  0  2  6  1  7  8 12],0.717948717948718,76065
1,0.2,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 9  0  5 12  3 10  1  4  8  7 11  2  6],0.6025641025641025,39161
1,0.5,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  2  3  5 11  8  9  1  4  6  7 12 10],0.7564102564102564,32817
1,0.5,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5 11  4  9  3  1  6  2  8 12 10  7],0.9487179487179487,89027
1,0.5,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  3  9 11  4  8  6  2  1 12  7 10],0.8333333333333334,26392
1,0.5,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 4  0 11  3  6  5  9  2  1  7 10 12  8],0.8461538461538461,22715
1,0.5,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3  6 11  2  9  8 10  1  7 12],0.8974358974358975,71417
1,0.5,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  2 11  9  3  6  1  7 12  8 10],0.8589743589743589,62318
1,0.5,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 4  0  5 11  9  6  3  7  2  1  8 10 12],0.8717948717948718,4854
1,0.5,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3  9 11  1  7  6 10 12  2  8],0.8589743589743589,8401
1,0.5,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 5 11  0  3  4  1  8  2 10  9  6  7 12],0.8461538461538461,37713
1,0.5,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  3  4  5 11  1  9  6  2 10  8  7 12],0.9230769230769231,83264
1,1.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  6  9  1  2  8 10 12  7],0.9487179487179487,40084
1,1.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  1  6 10  2  7  8 12],0.9487179487179487,78709
1,1.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5 11  3  4  9  6  1  2 10  8  7 12],0.9487179487179487,31646
1,1.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 5 11  0  3  4  6  1  9  7  2  8 10 12],0.8717948717948718,23936
1,1.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  3  5  4 11  9  1 10  6  2  7 12  8],0.8974358974358975,79168
1,1.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  2  9  6  8  1 10 12  7],0.9102564102564102,87648
1,1.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 4  0 11  5  3  9  1  6  2  8 10 12  7],0.9487179487179487,7929
1,1.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  9  2  1  6 10  7  8 12],0.9358974358974359,5856
1,1.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  9 11  3  5  6  2  1  7  8 10 12],0.8717948717948718,67126
1,1.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  3  5 11  4  9  1  6  7 10  8 12  2],0.8589743589743589,33611
1,2.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,57364
