dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
0,5.0,2,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 3 6 8 4 9],0.8666666666666667,46092
0,5.0,3,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 1 8 4 6 3 9],0.9111111111111111,99720
0,5.0,4,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 4 6 1 8 3 9],0.9555555555555556,80498
0,5.0,5,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 6 1 8 4 3 9],0.9111111111111111,98083
0,5.0,6,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 4 6 3 9],0.9333333333333333,37952
0,5.0,7,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,68554
0,5.0,8,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 8 4 1 6 3 9],0.9333333333333333,95010
0,5.0,9,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,65045
0,10.0,0,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 6 4 3 8 9],0.9333333333333333,84031
0,10.0,1,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 6 4 3 9],0.9111111111111111,68844
0,10.0,2,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 4 6 3 9],0.9333333333333333,70400
0,10.0,3,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 8 6 3 9],0.9555555555555556,38892
0,10.0,4,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 3 4 6 9],0.8888888888888888,87515
0,10.0,5,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 3 4 8 6 9],0.8888888888888888,13509
0,10.0,6,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 8 4 6 3 9],0.9333333333333333,57890
0,10.0,7,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 4 6 8 3 9],0.9777777777777777,72148
0,10.0,8,[2 5 7 0 4 1 6 8 3 9],[2 7 5 0 1 8 4 3 6 9],0.8888888888888888,84548
0,10.0,9,[2 5 7 0 4 1 6 8 3 9],[2 5 7 0 1 3 4 8 6 9],0.8888888888888888,52535
1,0.1,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 4  0  1  5 11  9  2  6  3 12  8  7 10],0.8205128205128205,37541
1,0.1,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5 10 11  3  9  1  4  2  8  6 12  7],0.8076923076923077,31024
1,0.1,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  1  9  8  2  6 12 10  7],0.9102564102564102,42295
