dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,0.5,workclass,1,7,20,4.1664438586153624e-07,26392
Adult Income,0.5,education,2,7,20,2.580854267572354e-06,22715
Adult Income,0.5,education-num,3,7,20,0.0002109112856600078,71417
Adult Income,0.5,marital-status,4,7,20,8.525073191909041e-07,62318
Adult Income,0.5,occupation,5,7,20,4.929213478884174e-06,4854
Adult Income,0.5,relationship,6,7,20,6.117404806712205e-07,8401
Adult Income,0.5,race,7,7,20,3.047116722273271e-07,37713
Adult Income,0.5,sex,8,7,20,1.4933541400668067e-08,83264
Adult Income,0.5,capital-gain,9,7,20,0.0022427550070670383,40084
Adult Income,0.5,capital-loss,10,7,20,0.0007078462886564644,78709
Adult Income,0.5,hours-per-week,11,7,20,2.021613533066713e-05,31646
Adult Income,0.5,native-country,12,7,20,2.219901445567571e-05,23936
Adult Income,0.5,age,0,8,20,4.319179582496161e-05,79168
Adult Income,0.5,workclass,1,8,20,3.1822639691771733e-07,87648
Adult Income,0.5,education,2,8,20,2.463496209797642e-06,7929
Adult Income,0.5,education-num,3,8,20,0.00020734681124657555,5856
Adult Income,0.5,marital-status,4,8,20,1.574248163631067e-07,67126
Adult Income,0.5,occupation,5,8,20,1.6899805213189063e-06,33611
Adult Income,0.5,relationship,6,8,20,2.222321615548436e-07,57364
Adult Income,0.5,race,7,8,20,5.020281105852504e-07,15027
Adult Income,0.5,sex,8,8,20,1.5015850605646905e-09,86004
Adult Income,0.5,capital-gain,9,8,20,0.0022562601330111775,45033
Adult Income,0.5,capital-loss,10,8,20,0.0006975653430004551,89499
Adult Income,0.5,hours-per-week,11,8,20,1.5877243759657255e-05,79632
Adult Income,0.5,native-country,12,8,20,2.157593595756638e-05,70534
Adult Income,0.5,age,0,9,20,2.899470102912518e-05,23064
Adult Income,0.5,workclass,1,9,20,3.1423618917986605e-07,76700
Adult Income,0.5,education,2,9,20,3.2225233582990914e-06,5202
Adult Income,0.5,education-num,3,9,20,0.0002092584030410772,57009
Adult Income,0.5,marital-status,4,9,20,5.82141736831631e-07,40455
Adult Income,0.5,occupation,5,9,20,4.0834950331843433e-07,99664
Adult Income,0.5,relationship,6,9,20,4.736230050009842e-08,19851
Adult Income,0.5,race,7,9,20,1.9955926018370592e-07,94652
Adult Income,0.5,sex,8,9,20,3.2643215961343057e-08,9075
Adult Income,0.5,capital-gain,9,9,20,0.0022537588463202207,62317
Adult Income,0.5,capital-loss,10,9,20,0.0007260221815555608,58033
Adult Income,0.5,hours-per-week,11,9,20,1.4561318241930147e-05,89894
Adult Income,0.5,native-country,12,9,20,1.849304370249567e-05,29869
Adult Income,1.0,age,0,0,20,3.403187000481296e-05,90207
Adult Income,1.0,workclass,1,0,20,8.385044565725377e-08,67199
Adult Income,1.0,education,2,0,20,6.837359252250752e-07,89039
Adult Income,1.0,education-num,3,0,20,0.00019534647311780532,19951
Adult Income,1.0,marital-status,4,0,20,1.0475042557562502e-07,75824
Adult Income,1.0,occupation,5,0,20,1.6583474277064764e-07,94211
Adult Income,1.0,relationship,6,0,20,1.5244789530103946e-07,4859
Adult Income,1.0,race,7,0,20,4.431107421878994e-08,36511
Adult Income,1.0,sex,8,0,20,5.083665730275679e-09,63651
Adult Income,1.0,capital-gain,9,0,20,0.0022515662829644817,10549
Adult Income,1.0,capital-loss,10,0,20,0.000693748947459281,51006
Adult Income,1.0,hours-per-week,11,0,20,1.3682203450530586e-05,62910
Adult Income,1.0,native-country,12,0,20,3.573983175872241e-06,76398
Adult Income,1.0,age,0,1,20,3.602040533000689e-05,92715
Adult Income,1.0,workclass,1,1,20,1.374201103702538e-08,40982
Adult Income,1.0,education,2,1,20,4.404288521353375e-07,44037
Adult Income,1.0,education-num,3,1,20,0.00020590063358808945,47421
Adult Income,1.0,marital-status,4,1,20,6.551701321026934e-08,95459
Adult Income,1.0,occupation,5,1,20,2.150269619005658e-07,19575
Adult Income,1.0,relationship,6,1,20,1.0185189597295569e-07,49989
Adult Income,1.0,race,7,1,20,3.85710741925103e-08,4983
Adult Income,1.0,sex,8,1,20,2.0916124615609653e-08,42522
Adult Income,1.0,capital-gain,9,1,20,0.0022350823024093972,94531
Adult Income,1.0,capital-loss,10,1,20,0.0006937409723796105,62021
Adult Income,1.0,hours-per-week,11,1,20,1.4238727291840027e-05,34961
Adult Income,1.0,native-country,12,1,20,2.5580493785329918e-06,99509
Adult Income,1.0,age,0,2,20,3.455858433457745e-05,60375
Adult Income,1.0,workclass,1,2,20,8.761667372135818e-09,94894
Adult Income,1.0,education,2,2,20,1.046269324893062e-06,1633
Adult Income,1.0,education-num,3,2,20,0.00022617574994743657,46004
Adult Income,1.0,marital-status,4,2,20,1.4478021205674952e-07,83495
Adult Income,1.0,occupation,5,2,20,3.226708293862839e-07,75772
Adult Income,1.0,relationship,6,2,20,2.1713581988636622e-07,40749
Adult Income,1.0,race,7,2,20,1.7145720902549902e-07,49742
Adult Income,1.0,sex,8,2,20,1.4727283733663382e-08,42024
Adult Income,1.0,capital-gain,9,2,20,0.0022537768211044595,52931
Adult Income,1.0,capital-loss,10,2,20,0.0006937264190409462,23024
Adult Income,1.0,hours-per-week,11,2,20,1.2742361165313281e-05,78578
Adult Income,1.0,native-country,12,2,20,5.812101708725446e-06,7770
Adult Income,1.0,age,0,3,20,3.595831706400157e-05,41465
Adult Income,1.0,workclass,1,3,20,8.727705742863817e-08,28186
Adult Income,1.0,education,2,3,20,1.2047812534889326e-06,73448
Adult Income,1.0,education-num,3,3,20,0.00020056915071570828,74929
